[2022-07-08 01:19:08] Ora2Pg version: 23.1
[2022-07-08 01:19:08] Export type: SHOW_TABLE
[2022-07-08 01:19:08] Geometry export type: INTERNAL
[2022-07-08 01:19:08] ORACLE_HOME = /usr/local/oracle/10g
[2022-07-08 01:19:08] NLS_LANG = AMERICAN_AMERICA.AL32UTF8
[2022-07-08 01:19:08] NLS_NCHAR = AL32UTF8
[2022-07-08 01:19:08] Trying to connect to database: dbi:Oracle:host=srv-dbora-03.whebdc.com.br;service_name=DEV_1810;port=1521
[2022-07-08 01:19:09] Isolation level: SET TRANSACTION ISOLATION LEVEL SERIALIZABLE
[2022-07-08 01:19:09] Showing table information...
[2022-07-08 01:20:16] Collecting 26408 tables in DBA_OBJECTS took: 67 wallclock secs ( 0.08 usr +  0.02 sys =  0.10 CPU)
[2022-07-08 01:21:41] Collecting 22920 tables information in DBA_TABLES took: 85 wallclock secs ( 0.21 usr +  0.02 sys =  0.23 CPU)
[2022-07-08 01:21:41] Retrieving column identity information...
[2022-07-08 01:22:26] Looking to subpartition information...
[2022-07-08 01:22:35] Looking to partitioned tables information...
[2022-07-08 01:22:40] Looking to external tables information...
[2022-07-08 01:22:40] [1] TABLE COMERCIAL.AAZF_MED (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [49] TABLE COMERCIAL.ADEP_AREA_PREP_LIB (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [50] TABLE COMERCIAL.ADEP_AREA_PREP_SETOR (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [51] TABLE COMERCIAL.ADEP_ASPECTO_IRRIGACAO (owner: COMERCIAL, 4 rows)
[2022-07-08 01:22:40] [52] TABLE COMERCIAL.ADEP_CONTROLE (owner: COMERCIAL, 2101 rows)
[2022-07-08 01:22:40] [53] TABLE COMERCIAL.ADEP_ELIMINACAO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [54] TABLE COMERCIAL.ADEP_HORARIOS_WEB (owner: COMERCIAL, 8 rows)
[2022-07-08 01:22:40] [55] TABLE COMERCIAL.ADEP_IMPEDIR_ADM_BAIXA (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [56] TABLE COMERCIAL.ADEP_IRRIGACAO (owner: COMERCIAL, 283 rows)
[2022-07-08 01:22:40] [57] TABLE COMERCIAL.ADEP_IRRIGACAO_ETAPA (owner: COMERCIAL, 211 rows)
[2022-07-08 01:22:40] [58] TABLE COMERCIAL.ADEP_LOG_MEDIC_IMEDIATO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [59] TABLE COMERCIAL.ADEP_LOG_PDA (owner: COMERCIAL, 145 rows)
[2022-07-08 01:22:40] [60] TABLE COMERCIAL.ADEP_MARGEM_REAPRAZAMENTO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [61] TABLE COMERCIAL.ADEP_MATERIAL (owner: COMERCIAL, 2 rows)
[2022-07-08 01:22:40] [62] TABLE COMERCIAL.ADEP_MEDIC_CHECAGEM (owner: COMERCIAL, 4 rows)
[2022-07-08 01:22:40] [63] TABLE COMERCIAL.ADEP_MEDIC_RISCO (owner: COMERCIAL, 1 rows)
[2022-07-08 01:22:40] [64] TABLE COMERCIAL.ADEP_MODELO_VISUALIZACAO (owner: COMERCIAL, 6 rows)
[2022-07-08 01:22:40] [65] TABLE COMERCIAL.ADEP_MODELO_VISUAL_ITEM (owner: COMERCIAL, 62 rows)
[2022-07-08 01:22:40] [66] TABLE COMERCIAL.ADEP_MODELO_VISUAL_REGRA (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [67] TABLE COMERCIAL.ADEP_MOTIVO_ADMNISTRACAO (owner: COMERCIAL, 1 rows)
[2022-07-08 01:22:40] [68] TABLE COMERCIAL.ADEP_MOTIVO_INTERRUPCAO (owner: COMERCIAL, 13 rows)
[2022-07-08 01:22:40] [69] TABLE COMERCIAL.ADEP_OBRIGAR_CAMPO_ADM (owner: COMERCIAL, 1 rows)
[2022-07-08 01:22:40] [70] TABLE COMERCIAL.ADEP_PAINEL_FONTE (owner: COMERCIAL, 4 rows)
[2022-07-08 01:22:40] [71] TABLE COMERCIAL.ADEP_PARAMETROS_SETOR (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [72] TABLE COMERCIAL.ADEP_PROCED_PARTICIPANTE (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [73] TABLE COMERCIAL.ADEP_PROCESSO (owner: COMERCIAL, 4996 rows)
[2022-07-08 01:22:40] [74] TABLE COMERCIAL.ADEP_PROCESSO_AREA (owner: COMERCIAL, 251 rows)
[2022-07-08 01:22:40] [75] TABLE COMERCIAL.ADEP_PROCESSO_CONTROLE (owner: COMERCIAL, 85 rows)
[2022-07-08 01:22:40] [76] TABLE COMERCIAL.ADEP_PROCESSO_EVENTO (owner: COMERCIAL, 1 rows)
[2022-07-08 01:22:40] [77] TABLE COMERCIAL.ADEP_PROCESSO_FRAC (owner: COMERCIAL, 3079 rows)
[2022-07-08 01:22:40] [78] TABLE COMERCIAL.ADEP_PROCESSO_ITEM (owner: COMERCIAL, 976 rows)
[2022-07-08 01:22:40] [79] TABLE COMERCIAL.ADEP_PROCESSO_ITEM_ADIC (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [80] TABLE COMERCIAL.ADEP_PROCESSO_MENSAGEM (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [81] TABLE COMERCIAL.ADEP_PROC_REGRA_MENSAGEM (owner: COMERCIAL, 1 rows)
[2022-07-08 01:22:40] [82] TABLE COMERCIAL.ADEP_QUALIDADE_REFEICAO (owner: COMERCIAL, 4 rows)
[2022-07-08 01:22:40] [83] TABLE COMERCIAL.ADEP_REGRA_ADMINISTRACAO (owner: COMERCIAL, 3 rows)
[2022-07-08 01:22:40] [84] TABLE COMERCIAL.ADEP_REGRA_ADM_MATERIAL (owner: COMERCIAL, 1 rows)
[2022-07-08 01:22:40] [85] TABLE COMERCIAL.ADEP_REGRA_ADM_MAT_ASSOC (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [86] TABLE COMERCIAL.ADEP_REGRA_ADM_PERFIL (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [87] TABLE COMERCIAL.ADEP_REGRA_APRAZAMENTO (owner: COMERCIAL, 1 rows)
[2022-07-08 01:22:40] [88] TABLE COMERCIAL.ADEP_REGRA_AREA_PREP (owner: COMERCIAL, 16 rows)
[2022-07-08 01:22:40] [89] TABLE COMERCIAL.ADEP_REGRA_COBRANCA (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [90] TABLE COMERCIAL.ADEP_REGRA_EVOLUCAO_ADM (owner: COMERCIAL, 3 rows)
[2022-07-08 01:22:40] [91] TABLE COMERCIAL.ADEP_REGRA_EVOL_ITEM (owner: COMERCIAL, 2 rows)
[2022-07-08 01:22:40] [92] TABLE COMERCIAL.ADEP_REGRA_INCLUSAO (owner: COMERCIAL, 7 rows)
[2022-07-08 01:22:40] [93] TABLE COMERCIAL.ADEP_REGRA_INCLUSAO_PROC (owner: COMERCIAL, 1 rows)
[2022-07-08 01:22:40] [94] TABLE COMERCIAL.ADEP_REGRA_INCONSISTENCIA (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [95] TABLE COMERCIAL.ADEP_REGRA_INCONS_ITEM (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [96] TABLE COMERCIAL.ADEP_REGRA_MARGEM_ADM (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [97] TABLE COMERCIAL.ADEP_REGRA_RECOMENDACAO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [98] TABLE COMERCIAL.ADEP_RESIDUO_GASTRICO (owner: COMERCIAL, 12 rows)
[2022-07-08 01:22:40] [99] TABLE COMERCIAL.ADEP_REVALIDATION_RULE (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [100] TABLE COMERCIAL.ADEP_SATISFACAO_REFEICAO (owner: COMERCIAL, 5 rows)
[2022-07-08 01:22:40] [101] TABLE COMERCIAL.ADEP_SV (owner: COMERCIAL, 34 rows)
[2022-07-08 01:22:40] [102] TABLE COMERCIAL.ADEP_SV_LIB (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [103] TABLE COMERCIAL.ADEP_TIPO_ELIMINACAO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [104] TABLE COMERCIAL.ADEP_TIPO_ELIM_INFOR (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [105] TABLE COMERCIAL.ADEP_TIPO_OBSERVACAO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [106] TABLE COMERCIAL.ADF_MED (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [107] TABLE COMERCIAL.ADIANTAMENTO (owner: COMERCIAL, 864 rows)
[2022-07-08 01:22:40] [108] TABLE COMERCIAL.ADIANTAMENTO_ALTERACAO (owner: COMERCIAL, 9 rows)
[2022-07-08 01:22:40] [109] TABLE COMERCIAL.ADIANTAMENTO_CHEQUE_CR (owner: COMERCIAL, 61 rows)
[2022-07-08 01:22:40] [110] TABLE COMERCIAL.ADIANTAMENTO_CLASSIF (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [111] TABLE COMERCIAL.ADIANTAMENTO_DEV (owner: COMERCIAL, 580 rows)
[2022-07-08 01:22:40] [112] TABLE COMERCIAL.ADIANTAMENTO_HIST (owner: COMERCIAL, 126 rows)
[2022-07-08 01:22:40] [113] TABLE COMERCIAL.ADIANTAMENTO_PAGO (owner: COMERCIAL, 160 rows)
[2022-07-08 01:22:40] [114] TABLE COMERCIAL.ADIANTAMENTO_PAGO_CHEQUE (owner: COMERCIAL, 50076 rows)
[2022-07-08 01:22:40] [115] TABLE COMERCIAL.ADIANTAMENTO_PAGO_HIST (owner: COMERCIAL, 6 rows)
[2022-07-08 01:22:40] [116] TABLE COMERCIAL.ADIANT_PAGO_ARQ (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [117] TABLE COMERCIAL.ADIANT_PAGO_DEV (owner: COMERCIAL, 47 rows)
[2022-07-08 01:22:40] [118] TABLE COMERCIAL.ADMINISTRACAO_LOTE_FORNEC (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [119] TABLE COMERCIAL.ADMINISTRACAO_LOTE_ITEM (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [120] TABLE COMERCIAL.ADM_SETOR_SEGURO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [121] TABLE COMERCIAL.ADRESSE (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [122] TABLE COMERCIAL.AE_DELETE_RECORD (owner: COMERCIAL, 73 rows)
[2022-07-08 01:22:40] [123] TABLE COMERCIAL.AE_DELETE_RECORD_ID (owner: COMERCIAL, 80 rows)
[2022-07-08 01:22:40] [124] TABLE COMERCIAL.AE_DOWNLOAD (owner: COMERCIAL, 1 rows)
[2022-07-08 01:22:40] [125] TABLE COMERCIAL.AE_EMAIL (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [126] TABLE COMERCIAL.AE_ENCOUNTER_ACCESS (owner: COMERCIAL, 18 rows)
[2022-07-08 01:22:40] [127] TABLE COMERCIAL.AE_FAILED_LOGIN (owner: COMERCIAL, 181 rows)
[2022-07-08 01:22:40] [128] TABLE COMERCIAL.AE_FILTER_EXECUTED (owner: COMERCIAL, 784 rows)
[2022-07-08 01:22:40] [129] TABLE COMERCIAL.AE_FILTER_EXECUTED_PARAMETER (owner: COMERCIAL, 3604 rows)
[2022-07-08 01:22:40] [130] TABLE COMERCIAL.AE_FUNCTION_ACCESS (owner: COMERCIAL, 532 rows)
[2022-07-08 01:22:40] [131] TABLE COMERCIAL.AE_FUNCTION_CLOSED (owner: COMERCIAL, 124 rows)
[2022-07-08 01:22:40] [132] TABLE COMERCIAL.AE_FUNCTION_ITEM_ACCESS (owner: COMERCIAL, 1701 rows)
[2022-07-08 01:22:40] [133] TABLE COMERCIAL.AE_INTEGRATION (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [134] TABLE COMERCIAL.AE_INTEGRATION_LOG (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [135] TABLE COMERCIAL.AE_LOGIN (owner: COMERCIAL, 99 rows)
[2022-07-08 01:22:40] [136] TABLE COMERCIAL.AE_LOGIN_ADDITIONAL_STEP (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [137] TABLE COMERCIAL.AE_LOGOUT (owner: COMERCIAL, 43 rows)
[2022-07-08 01:22:40] [138] TABLE COMERCIAL.AE_MEDICAL_RECORD_ACCESS (owner: COMERCIAL, 107 rows)
[2022-07-08 01:22:40] [139] TABLE COMERCIAL.AE_PATIENT_DATA_DELETION (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [140] TABLE COMERCIAL.AE_PATIENT_DATA_DELETION_ID (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [141] TABLE COMERCIAL.AE_PATIENT_DATA_DELETION_VALUE (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [142] TABLE COMERCIAL.AE_REPORT_GENERATION (owner: COMERCIAL, 1 rows)
[2022-07-08 01:22:40] [143] TABLE COMERCIAL.AE_REPORT_PARAMS (owner: COMERCIAL, 78 rows)
[2022-07-08 01:22:40] [144] TABLE COMERCIAL.AE_REPORT_PRINTED (owner: COMERCIAL, 1 rows)
[2022-07-08 01:22:40] [145] TABLE COMERCIAL.AE_SMS (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [146] TABLE COMERCIAL.AE_UPDATE_RECORD (owner: COMERCIAL, 25 rows)
[2022-07-08 01:22:40] [147] TABLE COMERCIAL.AE_UPDATE_RECORD_CHANGED_FIELD (owner: COMERCIAL, 49 rows)
[2022-07-08 01:22:40] [148] TABLE COMERCIAL.AE_UPDATE_RECORD_ID (owner: COMERCIAL, 25 rows)
[2022-07-08 01:22:40] [149] TABLE COMERCIAL.AFIP_INTEGRACAO_TASY (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [150] TABLE COMERCIAL.AF_ATEND_CONVENIO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [151] TABLE COMERCIAL.AGECONS_REGRA_EVENTO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [152] TABLE COMERCIAL.AGECONS_REGRA_TURNO_SALA (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [153] TABLE COMERCIAL.AGECONS_TURNO_REGRA_PROC (owner: COMERCIAL, 2 rows)
[2022-07-08 01:22:40] [154] TABLE COMERCIAL.AGEINT_ADIC_ITEM_CONV_ITEM (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [155] TABLE COMERCIAL.AGEINT_AGENDAS_GRUPO (owner: COMERCIAL, 2 rows)
[2022-07-08 01:22:40] [156] TABLE COMERCIAL.AGEINT_AGENDA_GRUPO_EXAM (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [157] TABLE COMERCIAL.AGEINT_AGENDA_TURNO_ANEST (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [158] TABLE COMERCIAL.AGEINT_AGRUP_AGENDA_ITEM (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [159] TABLE COMERCIAL.AGEINT_AJUST_PROC_GRUPO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [160] TABLE COMERCIAL.AGEINT_ANESTESIA_TURNO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [161] TABLE COMERCIAL.AGEINT_ARQ_ANEXO_EMAIL (owner: COMERCIAL, 88 rows)
[2022-07-08 01:22:40] [162] TABLE COMERCIAL.AGEINT_BLOQUEIO_EXAME (owner: COMERCIAL, 4 rows)
[2022-07-08 01:22:40] [163] TABLE COMERCIAL.AGEINT_BLOQUEIO_HORARIO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [164] TABLE COMERCIAL.AGEINT_BLOQUEIO_MEDICO (owner: COMERCIAL, 5 rows)
[2022-07-08 01:22:40] [165] TABLE COMERCIAL.AGEINT_BLOQ_VIS_HOR (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [166] TABLE COMERCIAL.AGEINT_BUSCA_FONETICA (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [167] TABLE COMERCIAL.AGEINT_CALENDAR_DESC (owner: COMERCIAL, 35 rows)
[2022-07-08 01:22:40] [168] TABLE COMERCIAL.AGEINT_CALENDAR_PROFILE (owner: COMERCIAL, 3 rows)
[2022-07-08 01:22:40] [169] TABLE COMERCIAL.AGEINT_CAMPO_OBRIG_CONFIRM (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [170] TABLE COMERCIAL.AGEINT_CHECK_LIST_PACIENTE (owner: COMERCIAL, 58 rows)
[2022-07-08 01:22:40] [171] TABLE COMERCIAL.AGEINT_CHECK_LIST_PAC_ITEM (owner: COMERCIAL, 170 rows)
[2022-07-08 01:22:40] [172] TABLE COMERCIAL.AGEINT_CLASSIF_AGENDAMENTO (owner: COMERCIAL, 9 rows)
[2022-07-08 01:22:40] [173] TABLE COMERCIAL.AGEINT_CLASSIF_LIB_ADIC (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [174] TABLE COMERCIAL.AGEINT_COBERTURA_ITEM (owner: COMERCIAL, 20 rows)
[2022-07-08 01:22:40] [175] TABLE COMERCIAL.AGEINT_CONFIRM_AGENDAMENTO (owner: COMERCIAL, 2 rows)
[2022-07-08 01:22:40] [176] TABLE COMERCIAL.AGEINT_CONSISTENCIA (owner: COMERCIAL, 149 rows)
[2022-07-08 01:22:40] [177] TABLE COMERCIAL.AGEINT_CONSULTA_HORARIOS (owner: COMERCIAL, 163 rows)
[2022-07-08 01:22:40] [178] TABLE COMERCIAL.AGEINT_CONSULTA_HOR_USU (owner: COMERCIAL, 4629 rows)
[2022-07-08 01:22:40] [179] TABLE COMERCIAL.AGEINT_CONV_VALIDADE_SOLIC (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [180] TABLE COMERCIAL.AGEINT_DADOS_URA (owner: COMERCIAL, 7 rows)
[2022-07-08 01:22:40] [181] TABLE COMERCIAL.AGEINT_DIAS_ATEND_EXAME (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [182] TABLE COMERCIAL.AGEINT_ELEGIBILIDADE (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [183] TABLE COMERCIAL.AGEINT_ENCAIXE_USUARIO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [184] TABLE COMERCIAL.AGEINT_EQUIP_ITEM (owner: COMERCIAL, 16 rows)
[2022-07-08 01:22:40] [185] TABLE COMERCIAL.AGEINT_EXAMES_AGENDA (owner: COMERCIAL, 1 rows)
[2022-07-08 01:22:40] [186] TABLE COMERCIAL.AGEINT_EXAME_ADIC_ITEM (owner: COMERCIAL, 8 rows)
[2022-07-08 01:22:40] [187] TABLE COMERCIAL.AGEINT_EXAME_ASSOCIADO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [188] TABLE COMERCIAL.AGEINT_EXAME_COLONOSCOPIA (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [189] TABLE COMERCIAL.AGEINT_EXAME_LAB (owner: COMERCIAL, 7 rows)
[2022-07-08 01:22:40] [190] TABLE COMERCIAL.AGEINT_EXAME_LAB_CONV_ITEM (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [191] TABLE COMERCIAL.AGEINT_EXAME_LAB_HIST (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [192] TABLE COMERCIAL.AGEINT_EXAME_PERM_AGENDADO (owner: COMERCIAL, 1 rows)
[2022-07-08 01:22:40] [193] TABLE COMERCIAL.AGEINT_EXAME_PROTOCOLO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [194] TABLE COMERCIAL.AGEINT_EX_ADIC_GRUPO_ITEM (owner: COMERCIAL, 5 rows)
[2022-07-08 01:22:40] [195] TABLE COMERCIAL.AGEINT_FORMA_INDICACAO (owner: COMERCIAL, 10 rows)
[2022-07-08 01:22:40] [196] TABLE COMERCIAL.AGEINT_GRUPO_AGENDA_CONS (owner: COMERCIAL, 3 rows)
[2022-07-08 01:22:40] [197] TABLE COMERCIAL.AGEINT_GRUPO_AGENDA_EXAM (owner: COMERCIAL, 0 rows)
